Date,Category,Description,Amount
5/8/2018,Health,eyewear Glasses payment remaining,4300.0
5/8/2018,Apparel,For Family,3410.0
5/8/2018,Transportation,Place 0 to Place 4 return,20.0
5/8/2018,Transportation,Current Residence to Place 0,15.0
5/8/2018,Family,Bows,398.0
3/8/2018,Other,From Family,100.0
3/8/2018,Family,,2000.0
3/8/2018,Dividend earned on Shares,Redington Stocks,180.0
2/8/2018,Household,Supermart,18.0
2/8/2018,Food,M D sure 4kg atta,216.0
2/8/2018,Health,eyewear Glasses advance,1000.0
1/8/2018,Family,,40.0
1/8/2018,Public Provident Fund,,12500.0
1/8/2018,Saving Bank account 1,,2000.0
31/07/2018 21:52:08,Apparel,13 clothes ironing,91.0
31/07/2018 18:01:20,Money transfer,,30000.0
31/07/2018 13:45:08,maid,July salary,2000.0
31/07/2018 13:44:15,Food,10 melody,10.0
31/07/2018 09:05:17,Salary,From workplace ,70255.0
30/07/2018 18:44:23,Health,Glucose D(50) + flora bc (40)+cyra 20(10),100.0
30/07/2018 13:19:56,Health,,132.0
30/07/2018 13:19:36,Food,Catering Service,212.0
30/07/2018 11:49:11,Food,1 plates poha,25.0
29/07/2018 19:29:54,Food,Paneer pizza,260.0
29/07/2018 15:52:47,Transportation,Decathlon Place A to Place A station,50.0
29/07/2018 11:39:53,Transportation,Current Residence to Place 0,15.0
29/07/2018 11:38:08,Transportation,2 Place 0 to Place A returns,40.0
29/07/2018 10:12:59,Food,Medu vada 3 plate,105.0
28/07/2018 23:42:57,Family,,200.0
28/07/2018 23:42:57,Culture,2 INOX ,481.36
28/07/2018 21:30:49,Food,,195.0
28/07/2018 20:45:00,Household,Supermart,3750.0
27/07/2018 18:39:39,Other,Demat account charges,826.0
26/07/2018 23:06:09,Food,Toast packet,40.0
26/07/2018 13:44:31,Tax refund,,6780.0
23/07/2018 12:49:29,subscription,Current Residence - Tata Play recharge,154.0
23/07/2018 12:33:32,Food,4 plates poha,100.0
21/07/2018 19:02:36,Household,Supermart,368.0
21/07/2018 19:02:16,Food,Khajur pav kg,30.0
21/07/2018 18:37:38,Food,2 Bhajipav + 2 vadapav,60.0
21/07/2018 08:42:11,Food,Toast packet,45.0
20/07/2018 19:59:46,Food,chocobar,20.0
20/07/2018 19:59:08,Food,potato 1kg,25.0
20/07/2018 19:58:46,Food,onion 1 kg,25.0
20/07/2018 13:06:14,Transportation,Ola cab - eye institute to Current Residence CHS,155.0
20/07/2018 12:29:28,Health,Cataract Medicine,87.0
20/07/2018 09:11:48,Health,Cataract Medicine,1048.0
19/07/2018 20:25:13,Food,Dahi 4 packets,40.0
18/07/2018 20:26:03,Food,M D sure 4kg atta,216.0
16/07/2018 17:51:56,Apparel,12 clothes ironing,84.0
16/07/2018 10:43:53,Household,Sony WI-C100 earphones wireless,1190.0
16/07/2018 10:41:01,Food,7 kachori,84.0
15/07/2018 19:12:57,Food,,30.0
15/07/2018 18:01:59,Food,,500.0
15/07/2018 09:41:01,Food,4 kachori,48.0
14/07/2018 18:10:13,Other,CA  - income tax filing,2000.0
13/07/2018 14:02:44,Transportation,Ola cab - eye institute to Current Residence CHS,188.0
13/07/2018 09:36:19,Health,Cataract Medicine,1358.0
13/07/2018,Small Cap fund 2,,5000.0
13/07/2018,Small cap fund 1,,5000.0
12/7/2018,Food,6 eggs,35.0
11/7/2018,Food,2 bread packets,57.0
10/7/2018,Dividend earned on Shares,Tata Steel Stocks,180.0
9/7/2018,Transportation,3.4 Lit Petrol,360.0
9/7/2018,Food,Toast packet,20.0
9/7/2018,Food,Shev bhaji sev pav kg,60.0
8/7/2018,Transportation,Ola cab - eye institute to Current Residence CHS,185.0
8/7/2018,Food,3 cutting chai,30.0
8/7/2018,Health,eye drop,153.0
8/7/2018,Health,Hospital consultation,500.0
8/7/2018,Transportation,Ola cab - Current Residence CHS to eye institute,130.0
8/7/2018,Transportation,To and Fro Cab Fare Contribution,675.0
7/7/2018,Transportation,Place 4 to Place 0,10.0
7/7/2018,Food,At restaurant,2.0
7/7/2018,subscription,,196.0
7/7/2018,Equity Mutual Fund E,,1000.0
6/7/2018,Food,At restaurant,760.0
6/7/2018,Transportation,Park Inn Goa,100.0
5/7/2018,Transportation,Terminal 1 to Terminal 2,83.0
5/7/2018,Food,cutting chai,7.0
5/7/2018,Transportation,Current Residence to Place 0,15.0
5/7/2018,Transportation,Place 0 to Place P,20.0
4/7/2018,Health,Doctor Fees,100.0
4/7/2018,Beauty,Shaving,50.0
4/7/2018,Family,,350.0
4/7/2018,Health,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0
3/7/2018,maid,,500.0
3/7/2018,Food,Half lit  milk,36.0
3/7/2018,subscription,Current Residence - Tata Play recharge,154.0
3/7/2018,Dividend earned on Shares,Infosys Stocks,52.5
3/7/2018,Saving Bank account 1,,2000.0
2/7/2018,Household,Supermart,1595.0
2/7/2018,Transportation,Place 1 bridge to Current Residence 2 seats,50.0
2/7/2018,Transportation,2 Place 6 Stand to MS,20.0
2/7/2018,Household,Face towels + shampoo,626.0
2/7/2018,Transportation,2 Place 1 to  mall,26.0
2/7/2018,Transportation,Current Residence to Place 1 bus stop highway,40.0
1/7/2018,Culture,2 PVR ,461.0
1/7/2018,Transportation,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0
1/7/2018,Food,Vadapav,15.0
1/7/2018,Apparel,undergarments pair of Jockey,430.0
1/7/2018,Apparel,clothes ironing,98.0
1/7/2018,Food,milk 1lit ,72.0
1/7/2018,Public Provident Fund,,12500.0
1/7/2018,Money transfer,,10000.0
30/06/2018 18:47:45,Household,Aqugurad PRV,1200.0
30/06/2018 08:45:37,Dividend earned on Shares,Asian paints Stocks,43.0
30/06/2018 08:45:18,Interest,interest paid,342.0
30/06/2018 08:44:48,Salary,From workplace ,65122.0
29/06/2018 17:01:00,Dividend earned on Shares,HUL Stocks,44.0
29/06/2018 16:13:02,Household,Tulsi plant+ pot,70.0
29/06/2018 16:10:41,Household,Math tap repair,50.0
29/06/2018 15:28:46,Household,3 bulbs 3 pencil cells,270.0
28/06/2018 20:44:36,Food,Home Food Delivery,455.0
28/06/2018 18:35:52,Food,Bhaji + vadapav + kachori+ tea,70.0
28/06/2018 15:06:59,Transportation,Vadala road to Nehru Planetarium,228.0
28/06/2018 10:08:21,Apparel,Mast & Harbour Slides,64.82
27/06/2018 21:32:27,Tourism,Planetarium,308.85
27/06/2018 19:11:09,Other,From Family,3000.0
27/06/2018 18:53:54,Food,2 cups,14.0
27/06/2018 18:48:45,Household,Mobile cover real mi note pro,100.0
27/06/2018 18:46:33,Other,Shopping at Alfa,4720.0
27/06/2018 18:46:48,Household,Mouse pad,100.0
27/06/2018 18:43:23,Apparel,Purse,450.0
27/06/2018 18:19:27,Apparel,Rainy season chappal,550.0
27/06/2018 18:18:28,Transportation,Place P station to Alfa market,25.0
27/06/2018 14:00:32,Transportation,2 Place 0 to Place P return,80.0
27/06/2018 13:59:52,Transportation,2 Current Residence to Place 0,30.0
27/06/2018 06:30:08,Saving Bank account 1,Refund,2549.59
26/06/2018 19:47:42,Transportation,2 Place 0 to Current Residence,30.0
26/06/2018 19:47:42,Household,Supermart,1990.0
26/06/2018 17:25:23,Household,Aqugurad water purifier,13050.0
26/06/2018 12:49:54,Household,Umbrella handle repair,70.0
26/06/2018 11:47:08,Transportation,Place 0 to Place 4 return,20.0
26/06/2018 11:45:49,Food,2 cutting chai,20.0
26/06/2018 11:44:48,Food,Bhaji + vadapav,30.0
25/06/2018 15:09:49,Food,Home Food Delivery,320.0
25/06/2018 14:23:22,Household,Smart point,2074.0
24/06/2018 16:11:39,Transportation,2 Place 0 to Current Residence,40.0
24/06/2018 16:11:17,Food,Bread,18.0
24/06/2018 16:11:07,Food,milk 1lit ,72.0
24/06/2018 14:37:00,Health,Suppliemnts,211.75
24/06/2018 13:31:06,Transportation,2 Place 5 to Place 0,30.0
24/06/2018 11:29:20,subscription,Permanent Residence - Tata Play recharge,157.0
24/06/2018 11:00:13,Food,2 Vadapav 2 samosa pav,60.0
23/06/2018 19:25:22,subscription,Annual recharge,2545.0
23/06/2018 10:15:35,Transportation,,30.0
22/06/2018 15:32:22,subscription,Data booster pack,181.0
19/06/2018 13:24:01,Family,,2000.0
19/06/2018 10:25:47,subscription,Data booster pack,25.0
18/06/2018 22:18:59,subscription,Data booster pack,15.0
16/06/2018 09:01:39,Share Market,,8500.0
15/06/2018 21:19:39,subscription,Data booster pack,15.0
15/06/2018 09:24:33,Transportation,2CC Place 2 to DDR Spl Train,1213.6
13/06/2018,Small Cap fund 2,,5000.0
13/06/2018,Small cap fund 1,,5000.0
11/6/2018,Food,12 eggs,84.0
11/6/2018,Self-development,Marathon,1407.0
10/6/2018,Household,Sofa covers,3000.0
9/6/2018,subscription,Data booster pack,667.0
7/6/2018,Equity Mutual Fund E,,1000.0
1/6/2018,Public Provident Fund,,12500.0
1/6/2018,Saving Bank account 1,,2000.0
31/05/2018 08:47:33,Salary,From workplace ,65134.0
30/05/2018 07:42:56,Dividend earned on Shares,HDFC Stocks,88.0
28/05/2018 14:11:17,subscription,Data booster pack,25.0
28/05/2018 10:41:59,Beauty,hair cut,100.0
27/05/2018 10:50:10,Interest,interest paid,28.0
27/05/2018 10:50:10,Household,Soap + dahya pav kg,75.0
26/05/2018 07:55:09,Transportation,Permanent Residence to Motor Driving school,50.0
24/05/2018 09:04:01,subscription,Data booster pack,667.0
23/05/2018 21:20:18,subscription,Permanent Residence - Tata Play recharge,166.0
22/05/2018 20:47:36,Health,2 All out refill,154.0
22/05/2018,Life Insurance,,11043.0
21/05/2018 14:06:05,Family,,140.0
20/05/2018 14:06:20,Family,"Soap, shampoo, razor",122.0
19/05/2018 19:26:19,Household,flour mill,25.0
19/05/2018 15:17:18,subscription,Data booster pack,15.0
18/05/2018 15:35:49,subscription,Data booster pack,301.0
15/05/2018 20:11:58,Food,Cookies & cream family pack,135.0
15/05/2018 20:11:12,Transportation,within city,30.0
15/05/2018 20:10:10,Household,LG Washing Machine,21500.0
15/05/2018 18:43:55,Transportation,Permanent Residence to GH road,50.0
14/05/2018 23:09:55,Amazon pay cashback,,21.0
14/05/2018 23:08:45,subscription,Data booster pack,301.0
14/05/2018 22:49:32,Other,Digilock room charges,40.0
14/05/2018 22:49:07,Transportation,Place 2 station to Permanent Residence,50.0
14/05/2018 18:01:15,Food,Potato chips,15.0
14/05/2018 12:55:41,Food,2 dozens mango + 1kg litchi,1250.0
14/05/2018 09:47:57,Transportation,2 Place 0 to Place 3,40.0
14/05/2018 09:47:13,Transportation,2 Current Residence to Place 0,40.0
13/05/2018 20:18:01,Apparel,clothes ironing,77.0
13/05/2018 20:16:54,Education,Gel pen Refills,12.0
13/05/2018 00:06:05,scrap,,20.0
13/05/2018,Small Cap fund 2,,5000.0
13/05/2018,Small cap fund 1,,5000.0
12/5/2018,Food,Domino's Pizza,437.0
12/5/2018,Food,Catering Service,70.0
12/5/2018,Food,4 kachori,48.0
12/5/2018,Food,milk 1lit ,72.0
11/5/2018,Food,1 packet,20.0
10/5/2018,Food,2 Faluda,80.0
10/5/2018,Other,NEFT from Big Share Services,947.0
9/5/2018,subscription,Mata + TOI + ET,12.0
9/5/2018,Food,Toast packet,45.0
9/5/2018,Food,Half lit  milk,36.0
9/5/2018,subscription,,199.0
8/5/2018,Food,Kaju katli half kg,500.0
8/5/2018,Food,milk 1lit ,72.0
8/5/2018,Beauty,Shaving,50.0
7/5/2018,Household,Handwash container2 + window cleaner,1086.0
7/5/2018,Transportation,Mall parking,20.0
7/5/2018,subscription,,515.0
7/5/2018,Food,Home Food Delivery,430.0
7/5/2018,Food,milk 1lit ,72.0
7/5/2018,Equity Mutual Fund E,,1000.0
6/5/2018,Other,From Family,3000.0
5/5/2018,Family,,600.0
4/5/2018,Household,Supermart,37.0
4/5/2018,Food,milk 1lit ,72.0
3/5/2018,Food,Bhaji + vadapav,40.0
2/5/2018,Food,Mango 1.5 kg,280.0
1/5/2018,Food,milk 1lit ,72.0
1/5/2018,Health,ITone eye drops,43.0
1/5/2018,Health,Refresh Tears Drop,122.0
1/5/2018,Family,,260.0
1/5/2018,Public Provident Fund,,12500.0
1/5/2018,Saving Bank account 1,,2000.0
1/5/2018,Money transfer,,10000.0
30/04/2018 18:25:28,Food,6 kachori,72.0
30/04/2018 18:25:08,Household,Supermart,165.0
30/04/2018 09:56:14,subscription,Current Residence - Tata Play recharge,176.0
30/04/2018 09:48:34,Food,Toast packet,45.0
30/04/2018 09:48:07,Food,milk 1lit ,72.0
30/04/2018 06:32:57,Gift,To Family,500.0
29/04/2018 18:28:10,Food,2 sugarcane juice,40.0
29/04/2018 09:36:56,Salary,From workplace ,65134.0
28/04/2018 21:03:59,Food,Home Food Delivery,413.0
28/04/2018 10:04:35,Family,,500.0
27/04/2018 18:30:51,Household,Supermart,295.0
26/04/2018 20:44:20,Food,Noodles packet,30.0
26/04/2018 20:44:50,Food,milk 1lit ,72.0
26/04/2018 11:30:19,Family,,1000.0
25/04/2018 18:28:39,Food,Catering Service,70.0
24/04/2018 22:24:28,subscription,Permanent Residence - Tata Play recharge,157.0
23/04/2018 18:21:36,Household,Idli pith 1kg,38.0
23/04/2018 15:22:30,maid,,500.0
22/04/2018 21:03:30,Food,,10.0
22/04/2018 12:35:39,Household,Supermart,190.0
22/04/2018 12:35:28,Food,milk 1lit ,72.0
21/04/2018 23:15:33,Food,Naturals,160.0
21/04/2018 21:15:07,Food,Dahi 2 packets,20.0
20/04/2018 20:39:57,Food,Sugaran Kitchen,70.0
19/04/2018 20:13:20,Household,flour mill,14.0
19/04/2018 09:55:08,Food,6 eggs,36.0
19/04/2018 09:54:53,Food,milk 1lit ,72.0
17/04/2018 09:04:44,Food,milk 1lit ,72.0
16/04/2018 22:40:53,Education,3 Pens,21.0
16/04/2018 20:58:57,Apparel,clothes ironing,63.0
16/04/2018 20:55:46,Household,Cockroach injection,270.0
16/04/2018 18:26:44,Household,Supermart,265.0
16/04/2018 18:26:06,Household,Smart point,450.0
15/04/2018 19:07:49,Food,pav Bhaji,70.0
15/04/2018 19:07:30,Food,2 cutting chai,20.0
15/04/2018 19:06:45,Household,"Vessels for sugar, coffee and tea",799.0
15/04/2018 14:40:22,Family,Body mist,525.0
15/04/2018 14:40:08,Transportation,Station Parking,10.0
15/04/2018 14:39:37,Transportation,Place 0 to Place 4 return,20.0
15/04/2018 14:38:43,Food,Catering Service,70.0
14/04/2018 22:27:04,Household,Supermart,107.0
14/04/2018 22:24:43,Food,Pizza base packet 2,40.0
14/04/2018 06:31:35,Food,Khari packet,45.0
14/04/2018 06:31:14,Food,milk 1lit ,72.0
13/04/2018 20:34:03,Health,Family Thyroid Test + CBC,700.0
13/04/2018,Small Cap fund 2,,5000.0
13/04/2018,Small cap fund 1,,5000.0
12/4/2018,subscription,,199.0
12/4/2018,Household,,112.0
12/4/2018,Food,Pattice,20.0
12/4/2018,Food,Catering Service,130.0
10/4/2018,Food,Bread,18.0
10/4/2018,Food,Catering Service,70.0
10/4/2018,Gift,farewell contribution,250.0
9/4/2018,Food,Ginger,10.0
9/4/2018,Food,milk 1lit ,72.0
7/4/2018,Household,Supermart,1857.0
7/4/2018,Household,Pav kg chana dal,24.0
7/4/2018,Food,Half lit  milk,36.0
7/4/2018,Equity Mutual Fund E,,1000.0
6/4/2018,Money transfer,,24500.0
5/4/2018,Household,Idli pith 1kg,38.0
5/4/2018,Food,6 eggs,36.0
5/4/2018,Food,milk 1lit ,72.0
5/4/2018,Food,Catering Service,130.0
3/4/2018,Public Provident Fund,,12500.0
3/4/2018,Saving Bank account 1,,2000.0
2/4/2018,Transportation,Mall parking,20.0
2/4/2018,Household,Window cleaner,149.0
2/4/2018,Food,Pav kg Lahsoon,24.0
2/4/2018,Food,Dahi 2 packets,20.0
2/4/2018,Food,onion 2 kg,36.0
2/4/2018,maid,,2000.0
1/4/2018,Interest,interest paid,345.0
1/4/2018,Other,ATM charge,5.9
1/4/2018,Other,ATM charge,24.78
1/4/2018,Interest,interest paid,345.15
1/4/2018,Food,milk 1lit ,72.0
1/4/2018,Money transfer,,10005.9
31/03/2018 21:39:12,Food,2 chocobar,45.0
31/03/2018 19:45:07,Food,Home Food Delivery,244.0
31/03/2018 14:48:02,Salary,From workplace ,64636.0
31/03/2018 13:20:18,Food,Domino's Pizza,419.0
31/03/2018 11:32:03,Transportation,Station Parking,10.0
31/03/2018 07:36:40,Interest,interest paid,589.0
31/03/2018 07:26:26,Transportation,Place 0 to Sion returns,30.0
30/03/2018 20:10:12,Food,1 Panipuri,25.0
30/03/2018 11:27:41,Food,Ginger + green chilli,20.0
30/03/2018 11:27:33,Food,milk 1lit ,72.0
29/03/2018 20:10:25,Food,At restaurant,1234.0
27/03/2018 19:58:24,Food,Bread,35.0
26/03/2018 13:05:30,Food,milk 1lit ,72.0
26/03/2018 09:55:55,subscription,Permanent Residence - Tata Play recharge,157.0
25/03/2018 22:20:31,Dividend earned on Shares,Marico Stocks,40.5
25/03/2018 21:14:42,Transportation,Station Parking,10.0
25/03/2018 21:14:08,Food,Popcorn family pack,25.0
25/03/2018 21:13:44,Food,2 tea,20.0
25/03/2018 21:13:19,Food,2 Frankie,160.0
25/03/2018 21:12:38,Food,French crossiant,80.0
25/03/2018 21:12:00,Food,IKEA tea 3,240.0
23/03/2018 19:48:39,Culture,Finding next Job,100.0
22/03/2018 22:30:49,Food,1 kg Bajari,7.0
22/03/2018 22:30:20,Food,Half kg tomato,15.0
22/03/2018 20:13:48,Household,Supermart,153.0
22/03/2018 19:31:37,Food,Pickle,150.0
22/03/2018 19:31:16,Food,Potato chips,150.0
22/03/2018 12:50:18,Food,1 packet,20.0
22/03/2018 12:47:34,Food,milk 1lit ,72.0
21/03/2018 23:13:13,Food,2 kachori,24.0
21/03/2018 18:41:45,Household,Idli pith 1kg,38.0
21/03/2018 17:26:41,Family,,50.0
20/03/2018 20:13:08,Food,2 Fried rice,246.0
20/03/2018 16:30:07,Other,,17.0
20/03/2018 16:26:08,Food,Chicken lollypop 8 pcs,215.75
20/03/2018 16:15:59,Food,Bread,18.0
20/03/2018 16:15:41,Food,6 eggs,36.0
20/03/2018 16:15:16,Food,Half lit  milk,36.0
18/03/2018 20:40:33,Transportation,Station Parking,10.0
18/03/2018 18:57:34,Food,Dabeli,15.0
18/03/2018 18:47:54,Family,Trouser,799.0
18/03/2018 18:41:33,Family,Belt + bow,498.0
18/03/2018 17:16:44,Food,Papad packet,50.0
18/03/2018 17:16:27,Food,1 Panipuri,30.0
18/03/2018 17:16:09,Food,cutting chai,10.0
18/03/2018 16:16:21,Transportation,Place 0 to Place 4 return,20.0
17/03/2018 22:50:45,Food,Catering Service,30.0
17/03/2018 13:13:18,Food,Half lit  milk,37.0
15/03/2018 16:27:45,Food,Catering Service,60.0
15/03/2018 16:27:45,Food,Half lit  milk,36.0
14/03/2018 21:39:40,Household,Mayonnaise + cheese cubes,140.0
14/03/2018 21:38:13,Food,onion 2 kg,40.0
14/03/2018 06:04:18,Food,Domino's Pizza,578.0
14/03/2018 06:03:35,Saving Bank account 1,Unused funds,42.88
13/03/2018 12:39:40,Family,,480.0
13/03/2018 09:27:56,Food,Half lit  milk,36.0
13/03/2018,Small Cap fund 2,,5000.0
13/03/2018,Small cap fund 1,,5000.0
12/3/2018,Transportation,2 Place 3 to Place 2 : Sevagram express 3AC,1293.0
10/3/2018,Household,Mosquito Racket,300.0
10/3/2018,Health,All out refill,77.0
10/3/2018,Food,1 lit ,72.0
10/3/2018,Food,Half lit  milk,36.0
8/3/2018,Apparel,clothes ironing,91.0
8/3/2018,Food,Flatbread 12 pcs,40.0
8/3/2018,Petty cash,From Family,500.0
8/3/2018,subscription,,540.0
8/3/2018,Food,6 eggs,36.0
8/3/2018,Food,Half lit  milk,36.0
8/3/2018,Equity Mutual Fund E,,1000.0
7/3/2018,Festivals,Holi Tip to cleaner,20.0
7/3/2018,Food,2 Vadapav,30.0
6/3/2018,Health,Thyroid Tablets,172.0
6/3/2018,Health,5 Meftal spas,22.0
6/3/2018,Education,Xerox,4.0
6/3/2018,Petty cash,From Family,3500.0
6/3/2018,Food,Half lit  milk,36.0
6/3/2018,Documents,Aadhar PUC card delivery,50.0
6/3/2018,Family,,50.0
5/3/2018,Food,chocobar,20.0
5/3/2018,Food,M D sure 3kg atta,162.0
5/3/2018,Household,Supermart,1357.0
5/3/2018,Household,Smart point,972.0
5/3/2018,Other,blanket sewing,10.0
4/3/2018,Family,,450.0
4/3/2018,Food,Catering Service,130.0
3/3/2018,Dividend earned on Shares,ITC Stocks,78.0
3/3/2018,Food,Half lit  milk,36.0
2/3/2018,Food,chocobar,15.0
1/3/2018,Food,Domino's Pizza,189.0
1/3/2018,Food,6 eggs,36.0
1/3/2018,Public Provident Fund,,10000.0
1/3/2018,Saving Bank account 1,,2000.0
1/3/2018,Money transfer,,10000.0
28/02/2018 20:32:55,Food,Khari packet,45.0
28/02/2018 20:31:38,Food,Half lit Varna milk,36.0
28/02/2018 20:31:10,Food,onion 1 kg,30.0
28/02/2018 20:29:59,Food,potato 1kg,18.0
28/02/2018 14:52:04,Salary,From workplace ,64556.0
27/02/2018 19:44:34,Household,Idli pith 1kg,38.0
27/02/2018 13:21:31,Food,5 chapati,30.0
26/02/2018 22:48:53,Food,1 lit ,73.0
26/02/2018 19:32:22,Household,Mirror repair,140.0
26/02/2018 18:25:59,Transportation,First servicing,443.0
26/02/2018 12:41:33,Food,chaas,17.0
24/02/2018 20:02:05,Food,Flatbread 12 pcs,40.0
23/02/2018 22:34:02,Health,Refresh Tears Drop,128.0
23/02/2018 07:02:54,Food,1 packet,20.0
23/02/2018 06:59:56,Food,1 lit ,72.0
22/02/2018 23:45:17,subscription,Permanent Residence - Tata Play recharge,157.0
22/02/2018 20:39:03,Food,Limca,20.0
22/02/2018 20:38:20,Food,onion 1 kg,20.0
22/02/2018 19:19:32,Food,Catering Service,192.0
22/02/2018,Life Insurance,,11043.0
20/02/2018 21:42:59,Household,Kitchen fan + installation+ repair,2600.0
19/02/2018 22:15:12,Petty cash,From Family,170.0
19/02/2018 22:15:12,Beauty,hair cut+shaving,170.0
19/02/2018 09:47:24,Food,1 lit ,72.0
19/02/2018 09:47:14,Food,2 kachori,24.0
17/02/2018 23:12:28,Food,BBQ,1783.0
17/02/2018 23:10:32,Family,,3598.0
17/02/2018 19:27:16,Transportation,Mall parking,20.0
17/02/2018 19:26:45,Food,5 chapati,30.0
16/02/2018 08:44:18,Food,banana chips,45.0
16/02/2018 08:41:51,Food,Khari packet,45.0
16/02/2018 08:41:33,Food,1 lit ,72.0
15/02/2018 19:48:20,Food,chocobar,35.0
15/02/2018 19:47:54,Food,Half kg tomato + methi 1 judi,30.0
15/02/2018 19:46:43,Household,Supermart,117.0
14/02/2018 19:12:16,Food,1 chicken shawarma,60.0
13/02/2018 20:24:24,Food,potato 1kg,25.0
13/02/2018 20:23:23,Food,Bread,35.0
13/02/2018 20:22:43,Food,Amul cheese,72.0
13/02/2018 06:58:06,Food,1 lit ,72.0
